dark elf;elf;750;30;"Elves love freedom, variety, and self-expression, so they lean strongly towards the gentler aspects of chaos. They value and protect others' freedom as well as their own, and are good more often than not. Drow are an exception; their exile into the Underdark has made them vicious and dangerous. Drow are more often evil than not.";Medium;Charisma;1;INVALID;0;Superior Darkvision;Sunlight Sensitivity;Drow Magic;Drow Weapon Training
dragonborn;FALSE;80;30;Dragonborn tend to extremes, making a conscious choice for one side or the other in the cosmic war between good and evil. Most dragonborn are good, but those who side with evil can be terrible villains.;Medium;Strength;2;Charisma;1;Draconic Ancestry;Breath Weapon;Damage Resistance;
dwarf;FALSE;350;25;Most Dwarves are lawful, believing firmly in the benefits of a well-ordered society. They tend toward good as well, with a strong sense of Fair Play and a belief that everyone deserves to share in the benefits of a just order.;Medium;Constitution;2;INVALID;0;Darkvision;Dwarven Resilience;Dwarven Combat Training;Stonecunning
elf;FALSE;750;30;"Elves love freedom, variety, and self-expression, so they lean strongly towards the gentler aspects of chaos. They value and protect others' freedom as well as their own, and are good more often than not. Drow are an exception; their exile into the Underdark has made them vicious and dangerous. Drow are more often evil than not.";Medium;Dexterity;2;INVALID;0;Darkvision;Keen Senses;Fey Ancestry;Trance
forest gnome;gnome;500;25; Gnomes are most often good. Those who tend toward law are sages, engineers, researchers, scholars, investigators, or inventors. Those who tend toward chaos are minstrels, tricksters, wanderers, or fanciful jewelers. Gnomes are good-hearted, and even the tricksters among them are more playful than Vicious.;Small;Dexterity;1;INVALID;0;Natural Illusionist;Speak with Small Beasts;;
gnome;FALSE;500;25; Gnomes are most often good. Those who tend toward law are sages, engineers, researchers, scholars, investigators, or inventors. Those who tend toward chaos are minstrels, tricksters, wanderers, or fanciful jewelers. Gnomes are good-hearted, and even the tricksters among them are more playful than Vicious.;Small;Intelligence;2;INVALID;0;Darkvision;Gnome Cunnning;;
half-elf;FALSE;200;30;Half-Elves share the chaotic bent of their elven heritage. They value both personal freedom and creative expression, demonstrating neither love of leaders nor desire for followers. They chafe at rules, resent others’ demands, and sometimes prove unreliable, or at least unpredictable.;Medium;Charisma;2;Choose;1;Darkvision;Fey Ancestry;Skill Versatility;
halfling;FALSE;250;25;Most halflings are lawful good. As a rule, they are good-hearted and kind, hate to see others in pain, and have no tolerance for oppression. They are also very orderly and traditional, leaning heavily on the support of their community and the comfort of the old ways.;Small;Dexterity;2;INVALID;0;Lucky;Brave;Halfling Nimbleness;
half-orc;FALSE;75;30;Half-Orcs inherit a tendency toward chaos from their orc Parents and are not strongly inclined toward good. Half-Orcs raised among orcs and willing to live out their lives among them are usually evil.;Medium;Strength;2;Constitution;1;Darkvision;Menacing;Relentless Endurance;Savage Attacks
high elf;elf;750;30;"Elves love freedom, variety, and self-expression, so they lean strongly towards the gentler aspects of chaos. They value and protect others' freedom as well as their own, and are good more often than not. Drow are an exception; their exile into the Underdark has made them vicious and dangerous. Drow are more often evil than not.";Medium;Intelligence;1;INVALID;0;Elf Weapon Training;High Elf Cantrip;Extra Language;
hill dwarf;dwarf;350;25;Most Dwarves are lawful, believing firmly in the benefits of a well-ordered society. They tend toward good as well, with a strong sense of Fair Play and a belief that everyone deserves to share in the benefits of a just order.;Medium;Wisdom;1;INVALID;0;Dwarven Toughness;;;
human;FALSE;100;30;Humans tend toward no particular alignment. The best and the worst are found among them.;Medium;All;1;INVALID;0;;;;
lightfoot halfling;halfling;250;25;Most halflings are lawful good. As a rule, they are good-hearted and kind, hate to see others in pain, and have no tolerance for oppression. They are also very orderly and traditional, leaning heavily on the support of their community and the comfort of the old ways.;Small;Charisma;1;INVALID;0;Naturally Stealthy;;;
mountain dwarf;dwarf;350;25;Most Dwarves are lawful, believing firmly in the benefits of a well-ordered society. They tend toward good as well, with a strong sense of Fair Play and a belief that everyone deserves to share in the benefits of a just order.;Medium;Strength;2;INVALID;0;Dwarven Armor Training;;;
rock gnome;gnome;500;25; Gnomes are most often good. Those who tend toward law are sages, engineers, researchers, scholars, investigators, or inventors. Those who tend toward chaos are minstrels, tricksters, wanderers, or fanciful jewelers. Gnomes are good-hearted, and even the tricksters among them are more playful than Vicious.;Small;Constitution;1;INVALID;0;Artificer's Lore;Tinker;;
stout halfling;halfling;250;25;Most halflings are lawful good. As a rule, they are good-hearted and kind, hate to see others in pain, and have no tolerance for oppression. They are also very orderly and traditional, leaning heavily on the support of their community and the comfort of the old ways.;Small;Constitution;1;INVALID;0;Stout Resilience;;;
tiefling;FALSE;115;30;Tieflings might not have an innate tendency toward evil, but many of them end up there. Evil or not, an independent Nature inclines many Tieflings toward a chaotic Alignment.;Medium;Intelligence;1;Charisma;2;Darkvision;Hellish Resistance;Infernal Legacy;
wood elf;elf;750;30;"Elves love freedom, variety, and self-expression, so they lean strongly towards the gentler aspects of chaos. They value and protect others' freedom as well as their own, and are good more often than not. Drow are an exception; their exile into the Underdark has made them vicious and dangerous. Drow are more often evil than not.";Medium;Wisdom;1;INVALID;0;Elf Weapon Training;Fleet of Foot;Mask of the Wild;
